model,bin_number,m_X_d_goal,sem_X_d_goal,m_X_n_A,sem_X_n_A,m_X_diff,sem_X_diff,m_X_rt,sem_X_rt,m_X_AO_size,sem_X_AO_size,m_X_first_move,sem_X_first_move,m_y_d_goal,sem_y_d_goal,m_y_p_in_tree,sem_y_p_in_tree,m_y_p_undo,sem_y_p_undo,m_y_p_same_car,sem_y_p_same_car,m_y_d_tree,sem_y_d_tree,m_y_d_tree_ranked,sem_y_d_tree_ranked,m_y_p_worse,sem_y_p_worse,m_y_p_same,sem_y_p_same,m_y_p_better,sem_y_p_better,m_y_p_in_tree_better,sem_y_p_in_tree_better,m_h_d_tree,sem_h_d_tree,m_h_d_tree_diff,sem_h_d_tree_diff,m_h_d_tree_ranked,sem_h_d_tree_ranked
data,5,7.40336423211609,0.3684664562886515,10.203196018248986,0.2139396575242331,10.629411157591925,0.3816895899559286,1736.4326177532082,194.28775885382626,59.729281604376965,3.627036365112887,0.022972027116935675,0.017996946316211133,7.998478953681335,0.4076139000034334,0.8471720675311748,0.02364075694519579,0.05275193149858896,0.01145302266029639,0.06911908899666212,0.013457803639435698,4.155115358637427,0.09213484061752485,1.7836041532016955,0.048718691656100856,0.1725102844264565,0.02481675814522099,0.25009415271233254,0.029862016859907248,0.577395562861211,0.04107819610297351,0.6783626774134442,0.04188737893125108,4.155115358637427,0.09213484061752485,1.0025353748002201,0.06869690449268381,1.7836041532016955,0.048718691656100856
random_model,5,7.40336423211609,0.3684664562886515,10.203196018248986,0.2139396575242331,10.629411157591925,0.3816895899559286,1736.4326177532082,194.28775885382626,59.729281604376965,3.627036365112887,0.022972027116935675,0.017996946316211133,8.555939220228066,0.3697961045299819,0.6217939043070727,0.01669160452382927,0.1058562083068948,0.0034043352273158693,0.2221167840678541,0.008094955673075943,4.355607113789568,0.07793196945456264,1.8960468545488034,0.04375825370476035,0.3477766491076451,0.01216500927686049,0.4570216898966854,0.011451500860925697,0.1952016609956695,0.008050350792523558,0.36007441953076746,0.01745991582851795,4.404530177041195,0.110352227695002,1.2074741687063468,0.09263090877920764,1.9562676120637663,0.06085110266626314
optimal_model,5,7.40336423211609,0.3684664562886515,10.203196018248986,0.2139396575242331,10.629411157591925,0.3816895899559286,1736.4326177532082,194.28775885382626,59.729281604376965,3.627036365112887,0.022972027116935675,0.017996946316211133,7.40336423211609,0.3684664562886515,0.9994009772117426,0.001063086697713573,0.07996530452007004,0.013194530050487832,0.11388576753811448,0.016007793072607857,4.236900258240304,0.11923030171800104,1.7994913416869227,0.07075931362352336,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.236440222879191,0.12378340819955728,1.0387545296718932,0.10462037107242093,1.7997423304541316,0.0754187397769209
gamma_only_model,5,7.40336423211609,0.3684664562886515,10.203196018248986,0.2139396575242331,10.629411157591925,0.3816895899559286,1736.4326177532082,194.28775885382626,59.729281604376965,3.627036365112887,0.022972027116935675,0.017996946316211133,8.262305766120788,0.39833658068280103,0.8403614109607266,0.011438711794336467,0.04839794193475474,0.004041832496231525,0.10138397967499499,0.007291809552095614,4.064448728896228,0.07965901068129426,1.6833300414445673,0.03500692958768321,0.2576274181415832,0.015821945947507552,0.3436866977215314,0.014920671046390293,0.39868588413688544,0.023932597246903147,0.4826264090854718,0.026005648045153696,4.050445824248687,0.08974460054260218,0.8893298879534927,0.07505035714340394,1.7048956640314745,0.05041691519076542
gamma_0_model,5,7.40336423211609,0.3684664562886515,10.203196018248986,0.2139396575242331,10.629411157591925,0.3816895899559286,1736.4326177532082,194.28775885382626,59.729281604376965,3.627036365112887,0.022972027116935675,0.017996946316211133,8.240909489177431,0.39849771717850735,0.851002744302853,0.009515567004252367,0.04206138555190472,0.003595618674225201,0.08649488897227639,0.006234550268400207,4.109546940304237,0.08217799700951163,1.7127601732860454,0.0382734626592384,0.24799493978790435,0.016112670627348395,0.3415553774855306,0.013686971528598463,0.4104496827265648,0.023046851800604003,0.49411495256616833,0.025701530393420182,4.094388239173531,0.10029793656038721,0.9145599674161978,0.07721270084790066,1.7186887415677572,0.055211750252322715
gamma_no_same_model,5,7.40336423211609,0.3684664562886515,10.203196018248986,0.2139396575242331,10.629411157591925,0.3816895899559286,1736.4326177532082,194.28775885382626,59.729281604376965,3.627036365112887,0.022972027116935675,0.017996946316211133,8.3669031880655,0.3902183590157801,0.8410643998854592,0.011854079431576228,0.14166731604956997,0.006737045040145854,0.24056394009858117,0.010537883137922144,4.038733577469855,0.07706998639922745,1.6677550881563405,0.03237985519273466,0.316878036384526,0.014662831072567984,0.3297828831803574,0.015205008395727684,0.3533390804351165,0.01914207296378593,0.4297510316139265,0.02174247820086193,3.9750120382125815,0.10605973715144461,0.8426434104556733,0.07555223748718838,1.6734026101556914,0.05645227268028678
eureka_model,5,7.40336423211609,0.3684664562886515,10.203196018248986,0.2139396575242331,10.629411157591925,0.3816895899559286,1736.4326177532082,194.28775885382626,59.729281604376965,3.627036365112887,0.022972027116935675,0.017996946316211133,7.9740218154995,0.3916706599430541,0.8132933411193453,0.012893469105135,0.0902142021059545,0.008037133960825721,0.16326462322371804,0.011622167699838653,4.288385703987526,0.10323922071364762,1.8400464948962607,0.05841137734939439,0.1707283543775597,0.011720655395017704,0.22920087462829283,0.01850822187392744,0.6000707709941475,0.027792077105655878,0.7471233351704997,0.024998746741678263,4.272046747286199,0.12525231934648093,1.0866810325265102,0.0924704871038692,1.8498926541548106,0.06808506821063907
forward_search,5,7.40336423211609,0.3684664562886515,10.203196018248986,0.2139396575242331,10.629411157591925,0.3816895899559286,1736.4326177532082,194.28775885382626,59.729281604376965,3.627036365112887,0.022972027116935675,0.017996946316211133,8.021768798955186,0.4042727226982391,0.7687216219271635,0.018078649351856012,0.07580793712137834,0.008388653819292928,0.1424868415403535,0.013728517354864769,4.385858338802044,0.0895856762783597,1.9076799248031309,0.0533841683167271,0.1265960493861174,0.02411466828452185,0.3652124680668601,0.019516166182522273,0.5081914825470226,0.039548452440971715,0.6661344759558948,0.039493532389223124,4.373434923237916,0.11241129050473041,1.1829926881525106,0.09085078672749697,1.9060605731218585,0.06626395385599758
opt_rand_model,5,7.40336423211609,0.3684664562886515,10.203196018248986,0.2139396575242331,10.629411157591925,0.3816895899559286,1736.4326177532082,194.28775885382626,59.729281604376965,3.627036365112887,0.022972027116935675,0.017996946316211133,8.037305816789864,0.3932851800569544,0.7925355981225481,0.011162151644235356,0.0917326761483543,0.007228227115007146,0.16996272067733548,0.010606774819681627,4.289876055069145,0.10144797721874532,1.8412773819384176,0.05666025593284781,0.18922975409221449,0.010696388986910594,0.2554820764893446,0.017332526797149035,0.5552881694184411,0.02452803755135152,0.7138346315384387,0.024419139527354656,4.330708366587524,0.1094133305901977,1.123522651359143,0.09687004015940755,1.8701955018883103,0.06996423957519801
hill_climbing_model,5,7.40336423211609,0.3684664562886515,10.203196018248986,0.2139396575242331,10.629411157591925,0.3816895899559286,1736.4326177532082,194.28775885382626,59.729281604376965,3.627036365112887,0.022972027116935675,0.017996946316211133,8.506804503625348,0.37423464259657063,0.6465182832788484,0.014725254440077518,0.11369061227827129,0.005207561325950823,0.22180004246510793,0.010075330264638005,4.151560471427091,0.08863688919181512,1.756378878491898,0.04266118431929298,0.328035724518542,0.015457635766242914,0.4473688224721747,0.012992152332757257,0.22459545300928335,0.012065757413483667,0.3863843707665697,0.02060635414553972,4.172821177647915,0.12296786350159324,1.0445366101227072,0.08327988190632267,1.8333139466683228,0.060359449152639244
