subject,model,nll,cv_nll,params
A1ZTSCPETU3UJW:3XC1O3LBOTUGQEPEV3HM8W67X4RTLL,hill_climbing_model,1609.4863746948452,1610.8755284703125,"[0.5449068260162133, -1.0927567537661722, -0.057906255277828195]"
A1ZTSCPETU3UJW:3XC1O3LBOTUGQEPEV3HM8W67X4RTLL,random_model,1687.9035888541077,1687.9035888540993,[0.3819660112501051]
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,gamma_only_model,2859.4169079086264,2860.3967861369215,[0.08163861846496173]
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,gamma_0_model,2941.4746858261365,2942.1121950798206,[0.461149219205605]
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,gamma_no_same_model,3004.6750827237624,3005.649625536674,[0.1176193069312627]
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,eureka_model,3069.175138971847,3084.6865220863046,"[13.960035426027572, 0.6026162614944893]"
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,forward_search,3103.3920562133712,3130.556612635244,"[1.4749093539559055, 7.707027e6]"
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,opt_rand_model,3078.822760719232,3080.2817983810796,[0.6229673397439798]
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,hill_climbing_model,3304.9496690543046,3307.366945982966,"[0.6926077467145091, -1.2485037190309003, 0.05255894883353206]"
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,random_model,3503.6577089548227,3503.65770895478,[0.3819660112501051]
A214HWAW1PYWO8:34BBWHLWHBJ6SUL255PK30LEGY5IWG,gamma_only_model,2608.8288460086687,2611.2532527769636,[0.06205485758248372]
A214HWAW1PYWO8:34BBWHLWHBJ6SUL255PK30LEGY5IWG,gamma_0_model,2645.6899951927553,2647.0184939358796,[0.3786331907354915]
