subj,prb,L,opt_L,branch,indegree,outdegree,n_sol,paths,ss_size,av_width,min_width,max_width,depth,mag_nodes,mean_random,std_random,exp_bfs,exp_red,exp_forest
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb6671_14,38,3.5441185818210474,5.809504268049362,4.71152928779565,2.904290988173308,0.04566178007431834,0.011138192579788809,0.23923972551383704,0.19941841629621435,2.748884174223228,0.16840373974830622,3.3341455134907476,10.390530645174936,0.8549263187551642,0.7907766468131048,0.27575846291334216,0.28928943127935236,0.3668525964652092
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb29414_11,14,2.6580889363657856,4.738474182963438,4.773523094214013,2.7004810942664093,0.020755354579235608,0.0004890743776481171,0.06282077146145652,0.06968558227732474,1.832589449482152,0.06896534103978254,2.5006091351180606,10.390530645174936,0.6069421050925542,0.5636895176458895,0.10523196515773518,0.15371484632335225,0.17162321469415873
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb33509_11,40,2.6580889363657856,5.840325953954099,5.114489029515015,4.241793416937331,0.6994554493202401,0.4987732942022558,1.1926181690921074,0.8841320542787157,0.458147362370538,0.7249380034879468,3.7509137026770913,10.390530645174936,0.34658497251749965,0.30223159753003204,1.3562878882829785,1.41159875955948,1.3914878485054283
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb2834_7,35,1.4767160757587698,5.563923013049519,3.6369699765440107,2.9348624722593426,0.1110411469989105,0.059886839962247244,0.627393974051593,0.6439198419903525,1.145368405926345,0.6808322621252951,2.7089932297112327,10.390530645174936,0.18038032993688505,0.1636543497633561,0.18225415652318594,0.04296377692267609,0.005742040640325013
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb29585_14,30,3.5441185818210474,5.894236773930558,5.5735384056129,4.1489871259618685,0.6102074246295269,1.5655296234977407,2.28954044797868,1.7972811353310199,3.436105217779035,1.5501163282546473,3.5425296080839193,9.091714314528069,1.3274072371410088,1.2071718410868466,3.311320301213432,4.0825135582525105,4.1451153377990675
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb14651_7,18,1.4767160757587698,7.347230623767296,6.592008082486019,5.43408129629269,0.2864238931934514,0.04099332510832401,1.9002469626527627,3.1697889860562323,3.207031536593766,2.876496259415116,1.6670727567453738,9.091714314528069,0.09909859860872036,0.09187623076108499,0.8716503138065415,0.08019905025566204,0.01339809482742503
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb31907_11,37,2.6580889363657856,5.217622692962621,4.369415319042457,3.241143451713877,0.037359638242624095,0.0007050292976485845,0.31719607144657713,0.22268901863496146,2.29073681185269,0.12991145637726478,3.959297797270263,10.390530645174936,0.3100778270336148,0.3005714702279744,0.2599102753895869,0.35755409905649327,0.10590874958821692
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb45893_16,32,4.134805012124556,4.024860599491884,5.315571504179707,2.1094324019364024,0.037359638242624095,0.0024847519030642006,0.22263941802920345,0.12371453373130249,1.145368405926345,0.09061725043599335,5.001218270236121,7.792897983881202,1.9627659656166785,2.8721965377068615,0.21141482156689567,0.25682791093777485,0.27051391461086727
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb42959_11,94,2.6580889363657856,4.365668417607142,4.546212470680013,2.5603617922054163,0.08821025696175133,0.0002108736277651622,0.20392338508084204,0.1812911148284895,1.374442087111614,0.12830761123680473,3.125761418897576,9.091714314528069,0.32382061025611936,0.281450006932271,0.22441033533637503,0.21672838580994386,0.09059664121401688
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb32695_7,7,1.4767160757587698,6.210816567281733,3.6369699765440107,5.47993852242174,0.8219120413377301,0.04663673529715975,1.617065246738425,1.7982500257797953,2.977957855408497,1.408176033323932,2.5006091351180606,7.792897983881202,0.07926859294164922,0.062447800500975335,0.3131601854694047,0.062058788888309915,0.010846076765058358
